Wine,Price_USD,Points,description,variety
Domaine Zind-Humbrecht 2015 Goldert Grand Cru Muscat (Alsace),26,95,"A flinty touch of promising reduction still hovers on the nose but cheeky floral and fruity hints of honeysuckle, jasmine and peach shimmer through. The palate unites all of these aromatic notions on a textured, layered and concentrated palate. The hints of honeysuckle spice are intensified by the ripe zestiness of Amalfi lemon and tangerine. The finish is dry and long, with ample refreshment from these gorgeous citrus notes. This is glorious now in its youthful exuberance but has the concentration, structure and fruit to age beautifully. Drink 2017–2035.",Muscat
Alain Brumont 2010 Château Bouscassé Red (Madiran),20,95,"The home vineyard of Madiran's star, Alain Brumont, has yielded a superb wine that is full of dark tannins and with a considerable ability to age. It is balanced, concentrated and touched by spice and toastiness from the wood aging. In tandem with that are generous fruits within a dense structure that is just beginning to smooth out. Drink from 2018–2038.",Red Blend
Eichinger 2015 Gaisberg Reserve Riesling (Kamptal),29,95,"Clouds of aromatic flower play along with zesty orange flavors. Grapefruit provides spice and drive. The palate shows that counterpoint of ripeness and tartness that makes this so very moreish. This is juicy and powerful, yet precise and toned despite all its generosity. This is a light, tightrope walk between two thrilling worlds. It's full of life and joy with an endless finish.",Riesling
Abbazia di Novacella 2015 Praepositus Kerner (Alto Adige),25,95,"You'll need to swirl the glass a few times to release the enticing scents of yellow stone fruit, Alpine herb and an intriguing smoky note. The savory vibrant palate is more expressive, delivering layers of crunchy green apple, zesty tangerine and juicy yellow peach set against crisp acidity. A flinty mineral note graces the lingering finish, lending even more depth. Drink through 2020.",Kerner
Domaine Cauhapé 2012 Symphonie de Novembre  (Jurançon),25,95,"Pure Petit Manseng harvested in November has given the essence of Jurançon. Superbly ripe, botrytised fruit is perfectly balanced with layers of freshness, apricot juice and a crisp, nervy texture. It's a young wine and really should not be drunk before 2018.",Petit Manseng
Buty 2008 Sémillon-Sauvignon-Muscadelle Semillon-Sauvignon Blanc (Columbia Valley (WA)),25,95,"Beautifully floral, fragrant and evocative, with lush and complex aromas of honeycomb, cracker and citrus, carrying into the mouth with rich, bright, detailed flavors. Stone and mineral elements are woven throughout, and the barrel fermentation adds hints of toast.",Semillon-Sauvignon Blanc
McCrea 2008 Boushey Vineyard Sirocco Blanc White (Yakima Valley),25,95,"Among McCrea's Rhône-inspired white wines, this is the most complete and complex. It's rich and dense, with honeycomb, lychee, lemon rind, pineapple and lots of stone—lovely and lingering. It seems to gain strength as it rolls through a sensational finish.",White Blend
Sineann 2013 Riesling (Oregon),24,95,"This sweet, luscious, dessert-style wine keeps enough acidity to contrast and compensate for the sugar. There's nothing flabby here, but how sweet it is! Caramel apples, molasses, maple syrup and honey coalesce around concentrated fruits, ranging from citrus through tropical. Orange and peach, pineapple and papaya are all to be found. A half bottle is rich enough to satisfy four tasters.",Riesling
Au Bon Climat 2007 Santa Barbara Historic Vineyards Collection Bien Nacido Vineyard Chardonnay (Santa Maria Valley),30,95,"Amazingly rich and ripe, defining the Bien Nacido cool-climate style. The grapes hung for a long time in this excellent vintage, getting ripe and balanced, and the wine offers dazzling opulence, while preserving vital acidity. Showcases dessert pastry flavors of pineapples, mangoes, buttered toast, buttercream, meringue and honeysuckle, accented with dusty spices. Simply beautiful from first sniff to the last swallow.",Chardonnay
Au Bon Climat 2007 Santa Barbara Historic Vineyards Collection Sanford & Benedict Vineyard Chardonnay (Santa Ynez Valley),30,95,"About as rich and flamboyant as California Chardonnay gets, a wine that blows you away with sheer pyrotechnic wizardry. Massive in grilled pineapples, mangoes, Key lime pie, vanilla honey, crème caramel and dusty spices, accented with perfect acidity.",Chardonnay
Novy 2005 Syrah (Santa Lucia Highlands),27,95,"Dark and racy, with a Northern Rhône-style aroma of black pepper, cedar and black currants, but there's nothing Rhône-like about the flavor. It's distinctly California, with soft, sweetly ripe tannins bursting with blackberry jam, black currants, anise, vanilla and sweet oak flavors. The wine is fully dry. Absolutely first-rate Syrah.",Syrah
La Clarine Farm 2011 Cedarville Mourvèdre (Sierra Foothills),24,95,"Light in color, alcohol and texture, this dynamic wine has a fresh pepper flavor, and is gorgeous all around, like drinking fresh rose petals. This could be enjoyed all day long, every day, but with only 51 cases produced, get it now or you'll miss out on it.",Mourvèdre
EOS 2006 Tears of Dew Late Harvest Moscato (Paso Robles),22,95,"With 21% residual sugar, this is an enormously sweet wine, one of the most honeyed of the vintage. A little sugar goes a long way, of course, but this wine also charms with rich, powerful apricot, peach and vanilla custard flavors, perfectly balanced with crisp acidity. With consistently high scores over the years, Tears of Dew has taken a place in the front ranks of California dessert white wines.",Moscato
Trisaetum 2014 Wichmann Dundee Estate Riesling (Dundee Hills),28,95,"Details of tea leaf, peach skin and pear introduce a wine with tremendous texture and length. The off-dry sweetness is counterbalanced by tart acidity, creating perfect tension and continuing into a lingering, satisfying finish. As with all these young wines, this will improve dramatically with ample aeration.",Riesling
Januik 2012 Bacchus Vineyard Riesling (Columbia Valley (WA)),20,95,"Spectacular is the word that comes to mind here. Tasted over many hours, this stunning effort proved itself over and over. A mix of citrus oils, tree fruits, a hint of honey, tea, lemon verbena and more, it delivers astonishing complexity and flavor for such a young wine. It should continue to evolve and improve from 2024–2034.",Riesling
Abeja 2012 Viognier (Walla Walla Valley (WA)),30,95,"Simply sensational, this estate-grown Viognier raises the bar for everyone. It's a glorious mesh of citrus flesh and rind, elevated with spicy highlights of orange, tangerine and Meyer lemon. Outstanding concentration, focus and depth, with juicy acidity underlying an astonishing finish.",Viognier
Carlisle 2013 The Derivative White (Sonoma County),28,95,"This marks another stunning vintage for this blend of 55% Sémillon, 25% Muscadelle, 10% Palomino and 10% Colombard, made by Zin master Mike Officer. Pungent in pear and pineapple, it has cutting-edge minerality, a taste of slate, and remains at turns creamy and crisp on the palate. This wine is unusual in all the right ways yet triumphantly delicious.",White Blend
Rosenhof 2015 Orion Eiswein Grüner Veltliner (Burgenland),30,95,"The fragrant, absolute varietal purity of green pear and grapefruit zest attains an additional thrill of orange-peel lift. The palate is sweet but not overwhelmingly so: all is balanced and countered by freshness and a light touch. This richness dances on ballerina's tiptoe. That aromatic streak of citrus freshness unites grapefruit and greengage, honey and lime. This is utter purity of fruit in an Eiswein of immense, irresistible charm with moreish, lemon-pure length.",Grüner Veltliner
Koehler 2014 Mourvèdre (Santa Ynez Valley),30,95,"This is a complex and layered Mourvèdre. Fragrances of rose petals, cinnamon, mace, blackberry and black cherry prove almost overpowering, yet delicious. The palate puts black plum and black cherry together with star anise, clove and an array of baking spice. There's a lot going on, but it's harmonious and balanced.",Mourvèdre
Easton 2014 Old Vine Rinaldi Vineyard Zinfandel (Fiddletown),30,95,"A gorgeous aroma like roses and blackberries meets richly concentrated and ripe black-fruit flavors in this full-bodied, luxuriously textured wine. While extremely ripe and bold, the wine is also smooth and voluptuous, balanced out by silky tannins that keep the mouthfeel lively and fresh sip after sip.",Zinfandel
Melville 2008 Chardonnay (Sta. Rita Hills),26,95,"Massive, opulent, oozing in pineapple créme brulée, honey, buttered toast and cinnamon spice flavors. Totally decadent, and fortunately set off with brisk, citrusy acidity. Calling all lobsters, and don't forget the drawn butter. Sheer hedonism in a glass, at a fantastic price.",Chardonnay
Au Bon Climat 2007 Los Alamos Vineyard Chardonnay (Santa Barbara County),25,95,"Massively fruity and oaky, this is an atom bomb of a Chardonnay. You either love this style or you hate it. The pineapple tart, apricot, pear, peach, crème brûlée, buttered toast, vanilla cream and cinnamon spice flavors go on and on. Beyond the utter richness is firm acidity and a bracing minerality. Defines California-style decadence, but drink now, as the wine will quickly go downhill.",Chardonnay
Arrowood 2009 Saralee's Vineyard Viognier (Russian River Valley),30,95,"A brilliant, completely satisfying Viognier that shows its sunny California terroir in the ripe lemon, peach and mango flavors. It finishes dry, with a steely minerality, like stones and cold metal. Just gorgeous, one of the finest California Viogniers ever.",Viognier
Southard 2010 Whipping Boy Cabernet Sauvignon (Columbia Valley (WA)),25,95,"Alcohol that reaches these levels is often a complexity killer, but not here. This is a stunningly delicious wine, with ripe, powerful and concentrated black fruits. Baking spices, tar, pencil lead, even a whiff of compost all add to the complexity and the depth of flavor is magnificent. This can age at least a decade but is delicious already!",Cabernet Sauvignon
Domaines Schlumberger 2009 Kessler Grand Cru Riesling (Alsace),30,95,"There is both wonderful bite and density to this great wine. It has a weighty texture full of ripe, rich fruit. At the same time, the wine is bone dry and crisp with acidity. It' s just beginning to mature, and while enjoyable now, it's better to wait until 2016.",Riesling
Kracher NV Noble Reserve Trockenbeerenauslese White (Burgenland),25,95,"Apple and passion fruit are the aromatic top notes, hovering above a nose of honey and musk. Notes of honey, caramel and maple syrup seem to unite on the palate, guided and framed by the sharpest, most luminous acidity. Extremes are at work here, revealing both utter sweetness and utter acidity. Dazzling all of the senses, this wine leaves a rich aftertaste.",Austrian white blend
Tranche 2008 Chardonnay (Columbia Gorge (WA)),30,95,"The Celilo vineyard has contributed the fruit to many outstanding Chardonnays from a who's who list of winemakers, but none better than this. Intensely concentrated and deeply extracted, it explodes with marvelously pure fruit flavors—the full range of citrus, citrus peel and crisp tree fruits. A wine with perfect virtually balance, exceptional texture and amazing length.",Chardonnay
Poet's Leap 2009 Riesling (Columbia Valley (WA)),20,95,"With residual sugar at about 1.35%, this balances the acidity without seeming sweet. Hand-picked and whole-cluster pressed, this immaculate, fresh, generous and stylish Riesling is always at the top of the list of Washington's best. Loaded with grapefruit, citrus and stone flavors, it cleans the palate and piles on the details as it rolls into a finish that lingers for well over a full minute.",Riesling
Alain Brumont 2011 Château Bouscassé Red (Madiran),25,94,Bouscassé is the home of Alain Brumont who also owns Château Montus in Madiran. This powerful wine with its blend of Tannat with the two Cabernets (Franc and Sauvignon) is dense and packed with firm tannins. It is also equally full of generous black-plum fruits and considerable acidity. This is still young—it's a concentrated wine that needs to age further. Drink from 2019.,Red Blend
Carlisle 2014 The Derivative White (Sonoma County),28,94,"2014 proves another banner year for this delightful blend of Sémillon from Monte Rosso Vineyard, Muscadelle from Pagani Ranch and Palomino and Muscadelle from Saitone Ranch. High-toned in tart, refreshing acidity, it offers hints of vanilla biscuit with its lime, apple and melon flavors, lingering in memory for days.",White Blend
Maison Bleue 2009 Soleil Roussanne (Yakima Valley),25,94,"Another stellar effort from this terrific new winery. Luscious aromas—stone fruits, candy, wax, peel, honey, cumin, allspice—it just keeps on going. Firm in the mouth, with the same exotic and refined blend of interesting spices and fruits. A tour de force.",Roussanne
Domaine Laporte 2016 Le Rochoy  (Sancerre),30,94,"From a sloping flinty vineyard, this is an impressive wine. It is powered by its tight tense texture to give a concentrated essence of Sauvignon Blanc. The wine, with its green and citrus fruits, is tangy, steely and needing to age. Drink from 2019.",Sauvignon Blanc
Stottle 2011 Lucille Late Harvest Viognier (Yakima Valley),18,94,"This tastes like a more concentrated and sweeter version of Stottle's dry Viognier from the same vintage and vineyard. Deeply concentrated, complex and creamy, it's loaded with citrus and stone fruits, honey and butterscotch, yet remains lifted by defining acidity.",Viognier
Rosenhof 2012 Orion Eiswein Grüner Veltliner (Burgenland),30,94,"Subtle notes of candied apricot mingle with barley sugar and light caramel in this splendid Eiswein. The palate reveals more intrigue, with pure lemon zest and aromatic inflections of crushed citrus foliage. While there is ample sweetness, this is cut by razor-sharp freshness and held in perfect poise. With time, ever more flavors join in: baked apple, candied orange peel and passion fruit. In its character, this would suit desserts that major on tropical, exotic fruit.",Grüner Veltliner
Luis Duarte 2008 Rapariga da Quinta Reserva Red (Alentejano),23,94,"His skills show in this rich, powerful, finely balanced wine. It has layers of black berry fruits, damsons, bitter chocolate and a good core of acidity. Give this impressive wine 3–4 years.",Portuguese Red
Tranche 2008 Slice of Pape Blanc Viognier-Roussanne (Columbia Valley (WA)),30,94,"Rich, almost unctuous, with a lush, lanolin mouthfeel, this is a passionfruit creamsicle of a wine. The fruit is a seductive and generous mix of peach, Asian pear and tropical; the alcohol a full-bodied 14.5%. The Roussanne part (58% of the blend) is barrel fermented; the Viognier done in stainless. Blended together they harmonize beautifully.",Viognier-Roussanne
Stéphane Aviron 2014 Côte du Py Vieilles Vignes  (Morgon),24,94,"The Côte du Py, one of the best cru vineyard sites in Beaujolais, is on the slope of a 3,000-foot extinct volcano. It produces structured wines that can age well. Stéphane Aviron brought out the quality of Py with a wine that is powerful, ripe and dense with considerable tannic structure. It will certainly need to age, so drink from 2019.",Gamay
Stéphane Aviron 2014 Vieilles Vignes  (Moulin-à-Vent),24,94,"Be grateful that Stéphane Aviron is an old-vine hunter. Serious tannins and concentration from 100-year-old vines give this wine its depth and richness. It has a great potential to age with black fruits, a mineral texture and acidity. This is an impressive cru wine, full of both fruit and density. Drink from 2019.",Gamay
Stéphane Aviron 2015  Moulin-à-Vent,24,94,"A firm and structured cru wine from 100-year-old vines that has layers of firm fruits and tannins. It is a wine that is likely to mature well, with its wood aging and dry core. A blend from four parcels, it is concentrated and with a rich black-cherry character. Drink this exceptional wine, from old-vine hunter Stéphane Aviron, starting in 2020.",Gamay
Terra d'Oro 2013 Deaver Vineyard Zinfandel (Amador County),30,94,"A multidimensional wine, this delicious example made from 130-year-old vines combines depth, breadth and length. It smells like ripe blackberries, tastes fruity and layered, feels luxurious and supple but at the same time firm in fine tannins and balanced by lively acidity. Medium to full bodied, it tastes great now and will improve through 2020.",Zinfandel
Amity 2013 Riesling (Willamette Valley),22,94,"The deep gold color of this relatively young wine suggests that oxidation is setting in. But wait! This wine explodes into full glory 24 hours after first being opened. It begins with intense aromas and flavors of dried apricots, apples and a hint of ginger, showing impressive length on the finish. It turns into a breathtaking, spätlese-style effort on the palate, with honey, Meyer lemon and ripe grapefruit flavors.",Riesling
Eichinger 2013 Gaisberg Reserve Grüner Veltliner (Kamptal),28,94,"This wine pulls off a daring feat: despite palate weight and concentration it has a light, almost delicate, feathery citrus touch and a streamlined, fresh palate. The aromatic expression is just beginning to unfold, promising freshly cut apples and oceans of green and dried spice. This should carry a danger-warning: seriously, deliciously addictive! Beautiful now but it deserves maturing. Drink as of 2016–2017.",Grüner Veltliner
Eichinger 2013 Gaisberg Reserve Riesling (Kamptal),28,94,"Voluptuous notions of orange oil segue into a more earthy notion of lemon-anointed autumn leaves. Lots goes on here: the fresh peel of rosy apples, grated lemon zest and wet earth, all combined on a very smooth palate. This is highly drinkable and full of moreish allure.",Riesling
Bründlmayer 2013 Alte Reben Reserve Grüner Veltliner (Kamptal),25,94,"Creamy, rounded freshness with an immensely savory core of sage, arugula and white pepper make for an understated but seriously delicious white. There is weight and importance here, but it is lightly worn. The spicy, almost salty flavors keep you wanting more.",Grüner Veltliner
Domaine Saint-Rémy 2015 Ehrhart Hengst Grand Cru Riesling (Alsace),30,94,"The senses are immediately captured by the purity of the perfectly ripe apple notes that rise from the glass. The palate continues in that pure, joyous, juicy vein. This has incredible power and despite its muscle and undoubted weight there is no fat. The palate is dry and streamlined and bouncing with fruit and life. Lovely now, sure to age beautifully. Drink 2017–2030.",Riesling
Domaines Schlumberger 2014 Kessler Grand Cru Pinot Gris (Alsace),30,94,"There is something pleasantly bitter on the nose: Burnt sugar or bitter almond. The palate answers this with fluid, rippling sweetness expressed in ripe, juicy, refreshing pear fruit. The bitter notes remain and create an appetizing, tangy edge to this concentrated wine that is streamlined by balancing freshness despite the residual sugar. A lovely balancing act with a bracingly clean, medium dry finish and echoes of citrus zest. Drink 2017–2035.",Pinot Gris
Bestheim 2015 Anne de K Schlossberg Grand Cru Riesling (Alsace),25,94,"Aromatic notes of tangerine and mandarin play on the nose, making for a heady opening. The concentrated palate shows juicy ripeness against tingling tart freshness. The finish is absolutely dry and totally refreshing. Drink now–2027.",Riesling
Quivira 2015 Refuge Sauvignon Blanc (Dry Creek Valley),30,94,"Made from biodynamically grown grapes, this wine is remarkably floral, high-toned and rewarding—a complex commingling of anise, green apple and grapefruit flavors. A gravelly texture gives it context and supports the lingering, succulent acidity.",Sauvignon Blanc
Monte dos Cabaços 2007 Reserva Red (Alentejano),30,94,"Cabaços believes in releasing its wines when they are ready to drink. That's why it's possible to drink this Reserva for the first time. It's a magnificent, powerful wine, packed with dark fruits that are now mature. The opulent Alicante Bouschet is the backbone of the wine along with the more structured Touriga Nacional. Drink now.",Portuguese Red
Rosenhof 2013 Ausbruch Traminer (Burgenland),30,94,"The whole world of apricots is represented here: fresh, candied and dried. The concentration on the palate is immense, the scent is disarming, the sweetness is beyond luscious. Aromatic blood-orange peel and flesh provide an equally fragrant counterbalance. Irresistible now but of such richness and concentration that time will have nothing on it. Drink now and through 2030 at least.",Traminer
Trisaetum 2015 Coast Range Estate Riesling,28,94,"Technically off dry, this has so much defining acidity that the sweetness is just detectable, serving principally to round out the lush fruits. Delicious, lingering flavors of tangerine, pink grapefruit and orange peel combine in a wine with a sensational yum factor.",Riesling
Trisaetum 2015 Coast Range Estate Dry Riesling,28,94,"An acid-lover's Riesling, this is bone dry and loaded with phenolic detail. Fruit flavors run the table on citrus, most especially grapefruit, with plenty of pith and rind. It's lush, tart and deeply penetrating.",Riesling
Brian Carter Cellars 2009 Opulento Dessert Wine Touriga-Souzao-Tinto Cão Port (Yakima Valley),20,94,"Opulento is made entirely- with authentic Portuguese varieties, based on 60% Touriga Nacional. It's truly Port-like in flavor, showing deep notes of black cherry and cassis fruit. Smooth and supple, this is thoroughly delicious and should not be missed.",Port
Luis Duarte 2010 Rubrica Red (Alentejano),25,94,"Mint aromas and flavors lead to an intense wine that is powered at this young stage by firm, serious tannins. It has great richness from the black plum fruits, and a spicy, herbal character that adds complexity. From consultant Luis Duarte, this is a wine for long-term aging; hold for 6–7 years or more.",Portuguese Red
Vignobles Brumont 2012 Château Bouscassé Red (Madiran),25,94,"This is the home estate of Madiran superstar Alain Brumont. The wine is big, bold, rich and packed with both fruit and tannins. It has great structure and a dense dusty tannic character that promises great aging. This is a major wine that needs time. Drink it starting from 2022.",Red Blend
Château Vignelaure 2016 Rosé (Coteaux d'Aix-en-Provence),20,94,"This is one of the classics among Provence rosés. Produced from organically grown grapes and coming from an impressive red-wine producing estate east of Aix-en-Provence, the wine is structured and ageworthy with its blend that includes Cabernet Sauvignon. Rich and full of red fruits, the wine should be drunk from late 2017.",Rosé
Sandeman NV Royal Corregidor Rich Old Oloroso Sherry (Jerez),25,94,"Rich and unctuous; a big, muscular, semi-sweet beauty with a meaty frame and gorgeous maple and toffee aromas. Broad-shouldered across the palate, with apricot and quince flavors accented by cinnamon and nutmeg. In terms of mouthfeel, it's like a fine liqueur, and on the finish everything you've previously smelled and/or tasted comes back into perfect focus.",Sherry
Osborne NV Pedro Ximenez 1827 Sweet Sherry Sherry (Jerez),14,94,"A spectacularly sweet and rich bruiser, and one that delivers the essence of raisins, toffee and chocolate. This wine hasn't taken one turn south, and it's beckoning to be consumed. The finish is impeccably smooth and rich, and while its luscious to say the least, the amazing thing is its length, which runs a couple of minutes, no joke. A guarantee for anyone who loves the hedonistic combination of sweet fruit, brown sugar and chocolate.",Sherry
Terre Rouge 2011 Monarch Mine Vineyard Syrah (Sierra Foothills),30,94,"Generous in brambly wild raspberry fruit and leather, this lush bottling has peppery spice to spare. Aromatically it's as fine as perfume, floral and pretty; in texture, it's soft, but with just the right tension and electricity. Savory and spicy, it will bring out similar characteristics at the table.",Syrah
Russiz Superiore 2012 Sauvignon (Collio),26,94,"It boasts classic varietal aromas of crushed tomato vine, stone fruit and honeydew melon. The palate delivers white peach, cantaloupe and mineral accented with mint, thyme and rosemary notes that give depth. An elegant, compelling wine.",Sauvignon
Kiona 2012 Ice Wine Chenin Blanc (Red Mountain),25,94,"Kiona's ice wines are legendary, and this latest is as excellent as any they've done. Butterscotch scents invite further exploration. As the wine coats the mouth, it comes into lush focus with brown sugar, molasses, vanilla, cooked banana and more butterscotch. It's low in alcohol, but maintains sufficient acidity to stay buoyant and lively. Residual sugar is a hefty 170 g/L.",Chenin Blanc
Domaine Marcel Deiss 2011 White (Alsace),20,94,"This wine is made from a mix of 13 different grape varieties in a field blend. It's a totally terroir driven wine, full of mineral and gritty textures in its youth. Behind this structure is a wild range of flavors—spice, apples, pears and apricots—waiting to show through. It needs to age, so drink from 2016.",White Blend
Hirsch 2012 Gaisberg Reserve Riesling (Kamptal),28,94,"Still shy but invitingly soft, it has a charming peachiness that cushions both the lemony acidity and the streak of stony minerality. Edges of mandarin peel and flesh add to the allure, which will increase with age. Softly-spoken but very convincing and long.",Riesling
Dopff & Irion 2012 Schoenenbourg Grand Cru Riesling (Alsace),28,94,"That ethereal herbal lift of fine Riesling is apparent with the very first whiff. These wonderfully herb-scented notions continue on the exemplary dry palate: Imagine a lick of scented, dried chamomile embracing notions of dried and fresh apple and citrus peel. A wonderfully harmonious synthesis of fresh and evolved flavors. If you need convincing of the mature charm of Riesling this is the wine to convince you: Elegant, understated and yet intense. The finish is dry, sustained and utterly moreish. Lovely and maturing now, but with further potential. Drink 2017–2030.",Riesling
Domaine Fernand Engel 2014 Praelatenberg Grand Cru Riesling (Alsace),30,94,"Earth, apple, citrus and herb all mingle on nose. Green apple tinged with chamomile edge strikes against bright lemon on the dry palate. This is full of refreshing citrus and a beautifully understated vigor which will live in this wine for years to come. The finish culminates in a gorgeously tart but ripe apple notion. Very moreish now and approachable but with lots of future promise. Drink 2017–2030.",Riesling
Eighty Four 2015 Albariño (Napa Valley),28,94,"This new project of Elias Fernandez and Doug Shafer, of Shafer Vineyards, continues to impress with this standout white, sourced from Carneros, where the duo planted four acres of the variety a few years back. It's achingly pretty and substantive—exotic, complex and lingering, with sizzling acidity. Peach and honeysuckle stand out, while the texture is so sublime, you'll simply want more.",Albariño
Cusumano 2014 Alta Mora  (Etna),25,94,"Enticing scents of wild red berry, baking spice, aromatic herb and a balsamic note waft out of the glass. The elegant, juicy palate doles out succulent wild cherry, crushed raspberry, cinnamon and a note of white pepper while a mineral note backs up the finish. It's well balanced, with bright acidity and ultrafine tannins.",Red Blend
Salwey 2012 Estate Dry Pinot Noir (Baden),25,94,"Exotic spice and cedar notes mingle amidst plump red cherries and raspberries on the nose of this perfumed Pinot Noir. Firm tannins form a taut foundation to crisp, tart raspberry and currant flavors and savory nuances of dried herb and crushed granite. It's a remarkably elegant, squarely structured wine that should meld beautifully over the next decade.",Pinot Noir
Rex Hill 2012 Jacob-Hart Vineyard Pinot Gris (Willamette Valley),30,94,"An astonishing Pinot Gris, certainly among the best ever made in Oregon, this rich, luscious, mouthcoating wine is totally irresistible. Chardonnay-like unctuousness, ripe pear and apple fruit, plus hints of honey, butter and spice make it practically a meal in itself.",Pinot Gris
Quinta dos Murças 2011 Assobio Red (Douro),13,94,"Assobio is from a single vineyard in the Quinta dos Murças estate. A powerful, structured expression of Douro wine, it has black fruits, dark tannins, some subtle layers of wood aging and great concentration. Dark and richly fruity, it needs to mature before drinking. Wait until 2017.",Portuguese Red
Jean-Luc Baldès 2012 Clos Triguedina Les Galets Malbec (Cahors),30,94,"The highest of the Cahors vineyard's three terraces above the Lot valley has its stony soil with large pebbles. It produces the most structured of the three single-parcel wines from Triguedina. Complex and dark, it is juicy and sumptuous as well as solidly structured. Great acidity cuts through the opulent texture. It's a wine to age; drink from 2019.",Malbec
