Wine,Price_USD,Points,description,variety
Cookies & Cream 2010 Merlot (California),10,90,"One of a string of great values made at Terravant near Santa Barbara. Attractively oaky, it's full-bodied, full-flavored and just tannic enough to make it a good pairing for rich meat or cheese courses. It is deep in color, with a slightly tawny rim. It smells like wood smoke and grilled bread, tastes deep as blackberry and delivers cherry flavors that linger on the finish.",Merlot
Esser Cellars 2001 Chardonnay (California),8,90,"A rich, opulent wine at an unbelievable price, this Chard has layers of ripe peaches, pears and tropical fruits, and a lush overlay of toasty oak. The wonderfully creamy texture leads to a long, spicy finish. Despite the statewide appellation, this is as good as many regional Chardonnays.",Chardonnay
Aveleda 2016 Quinta da Aveleda White (Vinho Verde),10,90,"A blend of the two major grapes of the region, Alvarinho and Loureiro, and grown at the home estate of the producer, this is delicious Vinho Verde. It is dry, crisp, light and piercingly bright, perfect either as an apéritif or with seafood. Drink now.",Portuguese White
Château Vircoulon 2016  Bordeaux Blanc,10,90,"This is a ripe and soft blend of Sauvignon Blanc and Sémillon. Well balanced, it has rich, spicy fruit lifted by lemon and apple flavors and by the final acidity. It's ready to drink now.",Bordeaux-style White Blend
Mano A Mano 2011 Tempranillo (Vino de la Tierra de Castilla),9,90,"It's almost absurd how good this $9 Tempranillo is. Full, clean, deep aromas of black fruits and licorice feed into an energetic yet generous palate with moderate richness. Flavors of black cherry, blackberry and pepper finish spicy but not pushy. What a deal!",Tempranillo
Aveleda 2014 Quinta da Aveleda Estate Bottled White (Vinho Verde),9,90,"Produced from the vines that surround the family house at Quinta da Aveleda, this is an exemplary Vinho Verde. Dry and crisp, with richness as well as freshness, it is a bright, tight and lightly mineral wine to drink now.",Portuguese White
Kirkland Signature 2011 Pinot Noir (Carneros),10,90,"For an amazing price you get a dry, silky and elegant Pinot, with deeply satisfying flavors of raspberry, red currant and pomegranate. Thankfully, this should be easy to find, with nearly 17,000 cases produced.",Pinot Noir
Wines & Winemakers 2008 Azul Portugal Red (Dão),10,90,"Classic tannic Dão Touriga Nacional, packed with minerality, dark and dry tannins, firm and with a good juicy final character. Part of a range of wines from across the country under the name Azul Portugal.",Portuguese Red
Bergevin Lane 2012 Linen Sauvignon Blanc (Columbia Valley (WA)),10,90,"This lovely blend of Sauvignon Blanc, and 14% Roussanne, is as crisp and fresh as its name implies. Bright fruit flavors of lemon, lime, orange and pineapple speak to the success of this unusual blend. It's a bracing, palate-cleansing white wine that will be appealing all year round.",Sauvignon Blanc
DFJ Vinhos 2013 Paxis Red (Lisboa),10,90,"This dark, structured wine, with its balanced blend of Touriga Nacional, Touriga Franca and Tinta Roriz, is firm with tannins and dense berry fruits. Full in the mouth, it is a concentrated wine that brings out a strongly chalky texture. The wine is still moving towards a rich future. Drink from 2017.",Portuguese Red
Caves Velhas 2008 Catedral Reserva Red (Dão),10,90,"Mint and red-fruit aromas dominate this classic Dão wine, with its firm tannins and mineral structure. Spice, toast and dark-berry flavors give a feeling of weight to a wine that demands to be paired with rich red meats.",Portuguese Red
Aveleda 2012 Quinta da Aveleda Estate Bottled White (Vinho Verde),9,90,"The Aveleda estate is the source of the fruit for this dry, delicious Vinho Verde. It's a reference for the food-friendly, lemon and grapefruit style, adding minerality and a taut texture to the forward fruitiness. Drink this summer, or hold for up to six months.",Portuguese White
Bruno Cormerais 2012 Chambaudière Sur Lie  (Muscadet Sèvre et Maine),10,90,"Rich, this offers both bright crisp citrus fruits and ripe peach and pear flavors. It is still young, still textured and tight, needing to broaden to bring out more of the attractive fruitiness. Drink from 2016.",Melon
Gnarly Head 2014 Merlot (California),10,90,"This wine has all the necessary smoothness, plus deep plum and cherry flavors and touches of spicy oak, too. The texture feels layered and the fruit components are vivid and tasty. It all comes together gracefully on the palate and the finish.",Merlot
Enoport 2014 Vilalva Reserva Red (Douro),10,90,"From vineyards on the north bank of the Douro, this is a rounded, smooth wine that has layers of black fruits and finely integrated tannins. It is bold, ripe, full of blackberry fruitiness and a perfume from the Touriga Nacional in the blend. It is drinkable now, but will be better from the end of 2016.",Portuguese Red
Château Camelot la Chapelle 2011  Bordeaux,10,90,"This is a wine with potential. It has weight and ripe berry fruits balanced with solid tannins and a dense texture. Behind the structure, the fruit and acidity promise good things. Drink from 2016.",Bordeaux-style Red Blend
Dark Horse 2013 Merlot (California),10,90,"Complexity and varietal character come through in this concentrated, well-balanced and smoothly polished wine. It is full bodied and lightly tannic, but so oozing with flavors that it's still easy to sip. The array of black plum, light sage, and black olive flavors is accented with very light oak.",Merlot
DFJ Vinhos 2011 Paxis Red (Douro),9,90,"The Douro version of Paxis is a blend of Touriga Franca, Touriga Nacional and Tinta Roriz. It is a rounded, smooth and spicy wine, with weight and richness. Packed with red berries and plums, it is fruity and structured, with tannins providing a strong base of support. Drink from 2014.",Portuguese Red
Rendition 2007 Petite Sirah (Alexander Valley),9,90,"Great price for a big, powerful red like this. Tough in tannins now, it shows classic flavors of currants, mocha, anise and pepper, and will develop over time. Classy and impressive.",Petite Sirah
Sula 2013 Chenin Blanc (Nashik),10,90,"Pineapple, grapefruit, and apricot show brightly on the nose and palate. Simultaneously refreshing and sophisticated on the palate, this wine has a crisp, lingering finish laced with flavors of almond blossom.",Chenin Blanc
Kirkland Signature 2014 Old Vine Zinfandel (Sonoma County),10,90,"This is a screaming deal for such an admirably good wine, blended with smaller amounts of Petite Sirah and Syrah. Compressed black fruit meets fresh leather on the perfumed nose. The palate follows with thick tannins and mouthcoating flavors of licorice and cinnamon.",Zinfandel
Johann Donabaum 2015 Bergterrassen Federspiel Riesling (Wachau),10,90,"The spark of freshly cut lime and lemon is met by riper notions of yellow Mirabelle and Reine Claude plums. There is delicacy and slenderness but above all a bracing clean, sprightly character. Utterly refreshing.",Riesling
Wheelhouse 2011 Chardonnay (Sonoma County),9,90,"This has ripe Sonoma flavors of green apples, pears and tropical fruits, along with balancing acids and a touch of honey-sweet oak. Overall, it achieves harmonious balance. Production was 3,690 cases. Worth a special search.",Chardonnay
Dolce Stefania 2007 Bonarda (Mendoza),10,90,"Chocolaty and malty to start with, then more meaty, rubbery and traditional on the nose. The palate is round and just right in feel, while the palate is meaty, layered and savory, with juicy acidity and savory undercurrents. Cutting and food-friendly, and very well-made for a $10 wine.",Bonarda
Cooperativa Reguengos de Monsaraz 2012 Reguengos Red (Alentejo),10,90,"The cooperative of Reguengos is now a major force in the region. This wine, named after the hilltop town of Reguengos, is a powerful, condensed wine. It has dark black fruits, solid tannins and a smooth texture. Full-bodied and worth aging. Drink from 2015.",Portuguese Red
DFJ Vinhos 2011 Vega Red (Douro),9,90,"This is a firmly structured, dark wine. It has black cherry and berry fruit, a solid core of tannins and tight acidity. With its dense character, there is every chance of this impressive wine aging well, yielding a more rounded wine. Drink from 2016.",Portuguese Red
Château La Roche Bazin 2011  Blaye Côtes de Bordeaux,10,90,"A rich, bold wine full of wood flavors that are already well integrated with the ripe fruit and solid tannins. The wine is dense, while having a surface polish of smooth fruitiness. Give the wine 3–5 years.",Bordeaux-style Red Blend
Hyatt Vineyards 2008 Pinot Gris (Rattlesnake Hills),9,90,"Firm and full of fresh pear and apple and white peach fruit flavors. A clever blend that includes Muscat, Viognier and Riesling. Crisp and full-bodied, with a very clean and refreshing mouthfeel that extends into a bright, satisfying finish.",Pinot Gris
Aveleda 2009 Quinta da Aveleda White (Vinho Verde),9,90,"Now in a smart clear blue bottle, this is Aveleda's estate wine. It is always a classic, with just some extra weight to give it distinction. The flavors are apple, brightened with lime, finishing with vibrant acidity.",Portuguese White
DFJ Vinhos 2011 DFJ Alvarinho-Chardonnay White (Lisboa),10,90,"Round and smooth, this has a weighty, full-bodied structure, with the Alvarinho adding a more crisp character. Pear and melon fruits are balanced by citrusy acidity.",Portuguese White
Bodegas Dios Baco S.L. NV Manzanilla Sherry (Jerez),10,90,"A unique take on Manzanilla Sherry, which is often light and sea-flecked but in this case is more amber, hazy and full. The nose is racy and spicy, while the palate offers dried apricots, orange peel and salt. Finishes with tang offsetting hazelnut and walnut notes. Oily, interesting and very good if you are a Sherry fan.",Sherry
For a Song 2012 Caliche Lake Vineyard Riesling (Columbia Valley (WA)),10,90,"Though not labeled as such, this thrilling Riesling comes from the Ancient Lakes appellation and brings aromatic notes of peach, orange blossom and pear. It drinks medium-sweet with abundant stone fruit flavors.",Riesling
Gnarly Head 2015 Chardonnay (California),10,90,"This great buy shows a sophisticated blend of spice and fruit aromas. Medium-bodied and classically dry, it has good balance, moderate fruit flavors and light toast and ginger notes that add complexity.",Chardonnay
Aveleda 2013 Quinta da Aveleda Estate Bottled Loureiro-Alvarinho White (Minho),8,90,"This wine remains a benchmark for the Vinho Verde region, even though the producers have now recast it as a Minho wine. It is steely, tight and crisp, with a touch of creaminess that gives it a more rounded aftertaste. Drink now through 2015.",Portuguese White
Kitchen Sink NV White (California),10,90,"A superb white wine, and at this price, buy it by the case. Made from Chardonnay, Chenin Blanc and Gewürztraminer, it's streamlined and dry, with racy acidity framing citrus, lychee, pear, honeysuckle, mineral and spice flavors. Production was 10,000 cases, and the alcohol is a low 12.5%.",White Blend
Chateau Ste. Michelle 2013 Riesling (Columbia Valley (WA)),10,90,"Clean and fresh, this juicy wine carries a bit of fruit sweetness, but the flavors are tilted toward minerality rather than fruitiness. It's wonderfully refreshing, with a mix of citrus rind, melon and white peach working into an extended, palate-cleansing finish.",Riesling
Rothbury Estate 2001 Chardonnay (South Eastern Australia),8,90,"This deliciously full-bodied and rich Chardonnay is unabashedly New World in style. From its caramel and tropical fruit aromas through its flavors of Golden Delicious apples, mango, vanilla and baking spices, it screams “Australia.” Best Buy.",Chardonnay
Unger 2013 Stein Terrassen Riesling (Kremstal),10,90,"This opens with a breezy fragrance of citrus zest and mandarin leaf, hinting at deeper, riper peach within. The palate is soft but defined; while slender, it still abounds with citrus-framed peach.",Riesling
Pinhal da Torre 2013 Quinta do Alqueve Tradicional White (Tejo),10,90,"White peach aromas give a warm feeling. It has fine acidity as well, bursting with fruit and with just a touch of toast. It's ready to drink but will benefit by holding until 2015 in bottle.",Portuguese White
Dão Sul 2007 Cabriz Colheita Seleccionada White (Dão),9,90,"Rich, flowery wine that shows the potential for white wines in the Dão region. While it keeps plenty of lemon zest acidity, the apricot and peach flavors combine well with pears. There is spice from wood, but the fruit is the thing with this great food wine.",Portuguese White
J. Portugal Ramos 2013 Loureiro (Vinho Verde),9,90,"The Loureiro grape, grown mainly in the Lima Valley in the center of Vinho Verde, produces a distinctly mineral style of wine. This wine has that character as well as some riper tropical fruit notes and pure citrus acidity. The combination is intensely fruity and very refreshing.",Loureiro
Geyser Peak 2012 Sauvignon Blanc (California),10,90,"This tastes bone dry, and it offers acidity that's so clean and racy, it makes your mouth feel like it's shining. The flavors of limes, lemons, hay, white pepper and vanilla are delightful.",Sauvignon Blanc
Herdade dos Machados 2012 Morgado da Canita Red (Alentejano),9,90,"A blend of local Alentejo grapes has produced a structured while also opulent wine. Layers of dark fruits and solid tannins give dense character. Red fruits burst out of the structure, adding acidity and a perfumed aftertaste. Drink from 2017.",Portuguese Red
Chateau Ste. Michelle 2012 Harvest Select Sweet Riesling (Columbia Valley (WA)),10,90,"This is an excellent Harvest Select bottling, with bright, sappy flavors that seem not all that sweet. The residual sugar, listed at 47 g/L, is an asset, but doesn't dominate. Flavors remain as crisp as a fresh Macintosh apple, juicy, forward and delicious.",Riesling
Washington Hills 2011 Late Harvest Riesling (Washington),10,90,"With 7% residual sugar and 11% alcohol, this is a Riesling to enjoy with spicy noodle dishes. Sweetness notwithstanding, it's a substantial wine with grip and definition. Melon and peach flavors roll smoothly into notes of caramel and honey. This is rich and delicious.",Riesling
DFJ Vinhos 2012 Paxis Red (Lisboa),9,90,"Rich, spicy and deliciously fruity, it has tannins well cushioned by the ample blackberry flavors. Acidity preserves the wine's easy freshness, while it also has a dense texture. Drink now, but the wine will be richer in late 2014.",Portuguese Red
Washington Hills 2011 Riesling (Washington),10,90,"Light and lovely, this has just under 2% residual sugar, but it tastes drier than that. Arresting scents of jasmine tea and honeysuckle give it an enticing floral character. It glides into a soft palate dappled with accents of flowers, oils and incense. Includes small amounts of Chardonnay and Gewürztraminer.",Riesling
Pedra Cancela 2012 White (Dão),10,90,"A blend of Malvasia Fina and the great local grape Encruzado, this rich, wood-aged wine is perfumed and offers great fruitiness. Citrus and green plum fruits mingle with pineapple. The texture and the light toast give weight and add another dimension. The wine can be drunk now, but will be better from 2015.",Portuguese White
Casa Santos Lima 2012 Reserva do Monte Red (Lisboa),10,90,"This structured and dense wine hails from the steep, sloping hills of the Lisboa region. While aged in Portuguese oak, which provides spice and dark tannins, the delicious black fruit core is not overpowered. Drink now–2016.",Portuguese Red
Caves Aliança 2011 Quinta da Garrida Red (Dão),10,90,"A year in the barrel has given this powerful wine structured, yet polished tannins. While still young, it is powered by ripe red berry notes and driving juicy acidity. It's a wine for further aging, so drink from 2016.",Portuguese Red
Viña Cumbrero 2010 Crianza  (Rioja),10,90,"Raspberry, plum and cherry aromas are light, pure and fully inviting, with nothing off-putting. This tastes bright and balanced, with cherry and berry flavors that are impossible not to like. A dash of oaky cocoa blends with leftover red fruit flavors on a nice finish.",Tempranillo Blend
Colter's Creek 2010 Riesling (Idaho),10,90,"A little reticent on the nose, but opens up generously in the mouth. It's off-dry (3% residual sugar), with a flavorful, round mix of citrus, tangerine and nectarine fruits. Full-bodied and lingering, it sails into a clean, tangy finish.",Riesling
Aveleda 2015 Quinta da Aveleda White (Vinho Verde),9,90,"This blend of the two classic grapes of Vinho Verde, Loureiro and Alvarinho, is packed with fruit. Apples, lemons and a touch of ripe pear just fill the palate. It is a dry wine, refreshing and crisp with a mineral aftertaste.",Portuguese White
Casaleiro 2012 Reserva Touriga Nacional-Castelão-Trincadeira Red (Tejo),9,90,"A fine, ripe wine, fully structured with its tannins supported by delicious red fruits. It has concentration and a generous feel to it, showing warmth as well as a strong line in acidity. The wine finishes with spice, fruit, and tannins in the background.",Portuguese Red
Carlos Basso 2006 Dos Fincas Cabernet Sauvignon-Merlot (Uco Valley),10,89,"Blackberry and cassis aromas share the bouquet with tougher, more masculine notes of earth, rubber and char. Once it opens on the palate, there's ripe raspberry, plum and a nod to the black side of the fruit spectrum. Finishes with a mild kick of tannins and the essence of coffee and pepper. A solid blend of Cabernet and Merlot from the improving Uco Valley.",Cabernet Sauvignon-Merlot
Nastl 2015 Klassik Grüner Veltliner (Niederösterreich),10,89,"Only very slight citrus notes appear on the nose. The palate opens into soft fruitiness with slight hints of apricot and peach. The chief attraction, though, is a central, vivid theme of white pepper. This is light bodied but full of subtle charms.",Grüner Veltliner
Pacific Rim 2012 Sweet Riesling (Columbia Valley (WA)),10,89,"Sweet but not too sweet for some entrées, such as spicy Thai food, this brings a fruity mix of pear, pineapple and orange-creamsickle flavors. It's smooth and soft, not at all sugary, and framed with fresh acids.",Riesling
Oak Grove 2007 Reserve Viognier (California),8,89,"Kudos to Oak Grove for making such a nice wine at this everyday price. Drinks crisp in acidity and dry, with an ultraclean, spicy finish. Flavorwise, you'll find grilled nectarines and pineapples, with a touch of vanilla. This is a tremendous value.",Viognier
Chateau Ste. Michelle 2014 Riesling (Columbia Valley (WA)),9,89,"This wine is immediate in its appeal with aromas of lime leaf, flowers and peach. It drinks off dry with a zing of acidity that beautifully frames the full-fruit flavors.",Riesling
Montevina 2013 Skyland Ridge Zinfandel (Amador County),10,89,"Meaty, spicy accents enliven this full-bodied and ripe-tasting wine, adding a layer of interest and depth. The aromas and flavors show blackberries and black pepper, while the texture is smooth and a sense of richness on the lingering the finish.",Zinfandel
Woodbridge by Robert Mondavi 2015 Pinot Noir (California),8,89,"The 2015 vintage is a strong one for Woodbridge. Ripe fruit tones, bright acidity and lightly mouth-puckering tannins underpin red cherry, clove and blackberry flavors, while the texture is mouthfilling. It's a treat to find an inexpensive wine with such good backbone.",Pinot Noir
Caves de Rauzan 2011 Château Villotte  (Bordeaux Supérieur),10,89,"This wine has good spiciness, ripe fruits and firm tannins. There is a good balance between acidity from red berry fruits and a dense, tannic character. It is solid and concentrated, and needing to age longer. Drink from 2015.",Bordeaux-style Red Blend
Alma del Sur 2009 Colección Bonarda (Mendoza),10,89,"Clean and full for starters, with big berry aromas and hints of freshly poured tar as well as minerality. The palate is pure and hits the nail on the head in terms of feel. Flavors of blackberry and plum are dark and generous. Finishes with pepper, espresso and chocolate. Very good wine for the price.",Bonarda
Château Fonfroide 2015 Rosé (Bordeaux Rosé),10,89,This is a fresh but also full and rich wine with ripe pear and raspberry fruits. The wine is balanced and ready to drink.,Rosé
Montevina 2013 Skyland Ridge Barbera (Amador County),10,89,"This tempting wine from one of Amador's biggest and oldest wineries has a great price and lots of big flavors. It smells like wild berries and light baking spices, tastes almost jammy, and has a classy dry balance. A very smooth texture wraps up all that goodness and makes it easy to enjoy.",Barbera
Karl Josef 2012 Piesporter Michelsberg Riesling (Mosel),10,89,"While effortlessly quaffable, this pretty, intensely floral off-dry Riesling also has a polished mineral tone throughout. Plush honeydew and yellow cherry notes are delicately sweet, offset by a revitalizing lime finish.",Riesling
Chateau Ste. Michelle 2010 Gewürztraminer (Columbia Valley (WA)),9,89,"An eminently quaffable style of Gewürztraminer, this puts the fresh fruit flavors front and center, with floral highlights enriching the nose and the finish. Crisp and clean, it sings out for pad Thai.",Gewürztraminer
La Cappuccina 2012 Fontego  (Soave),10,89,"It opens with a floral fragrance of Spanish broom, jasmine and chamomile. The juicy palate delivers citrus, pineapple and almond alongside crisp acidity that lends a clean, refreshing close.",White Blend
Dão Sul 2012 Quinta do Encontro Q do E Red (Bairrada),10,89,"Baga has been softened by Merlot to produce a rounded wine, with accents of spice and generous tannins. Berry fruits come strongly through the dry core, giving a rich character to the wine. The finish is full of acidity and ripe red fruits.",Portuguese Red
Geyser Peak 2012 Pinot Grigio (California),10,89,"Dry, crisp and clean, this has rich flavors of citrus, honeydew, green apple and vanilla, brightened with keen acidity. This should be relatively easy to find.",Pinot Grigio
Château La Roche Bazin 2015  Blaye Côtes de Bordeaux,10,89,"This finely structured wine is ripe and full of blackberry flavors, with a soft, rich texture. That suggests it will age relatively quickly and be ready to drink from 2019.",Bordeaux-style Red Blend
Château Peynaud-Bagnac 2012  Bordeaux,10,89,"This is a smooth, wood-aged wine. Ripe black fruits are soft, with a contrast of toast and spice. It's juicy, with just the right amount of tannin. Although it's almost ready to drink, the wine will also age because of its structure. Drink from 2016.",Bordeaux-style Red Blend
Castle Rock 2016 Sauvignon Blanc (Mendocino County),10,89,"Vivid grapefruit and crisp apple notes give a big personality to this medium-bodied wine. A light sweetness takes off the acidic edge, while oaky and earthy accents linger on the finish. It's a terrific value and not hard to find.",Sauvignon Blanc
Borsao 2009 Red (Campo de Borja),8,89,"A delicious wine and very much the model for value in Spanish Garnacha. That this has 25% Tempranillo only seems to make it better; the nose is sweet but full and plummy. The palate is pure, flavorful and sweet, with baked cherry, earthiness and a hint of chocolate. A wine to buy in quantity, i.e. by the case.",Red Blend
Bogle 2014 Merlot (California),10,89,"Nicely behaved and well balanced, this gentle wine offers medium body, fresh plum flavors and a texture that's smooth and lightly tannic. The color is relatively deep and aromas are fruity, with a touch of earth.",Merlot
Altos Las Hormigas 2009 Colonia Las Liebres Bonarda (Mendoza),10,89,"Intense and extracted but also well balanced and smooth, with minerality and asphalt on the nose. The palate mixes deep black fruit weight and flavors with snappy acids, and overall this is bright, bullish and full of berry and black cherry along with chocolate. A ripe, satisfying wine for the money.",Bonarda
Aveleda 2012 Vinho Branco White (Douro),9,89,"Almost cool in character, this crisp Douro comes from high-altitude vineyards. The grapes yield a fruity citrus- and pear-driven wine that's minerally, with just the right amount of acidity to push its freshness forward.",Portuguese White
Borsao 2008 Monte Oton Garnacha (Campo de Borja),7,89,"On the spot and sweet, with black cherry and roundness on the nose. Plays above its price league via ripe plum and berry flavors, bounce, body and build. Whole, concentrated and shows good structure, depth and character. About as good as inexpensive Garnacha gets.",Garnacha
Ca' del Solo 2000 Big House Red Red (California),10,89,"A blend of six varietals including Cabernet Franc and Syrah, this wine is utterly distinctive. The raspberry liqueur aroma has a meaty edge complemented with things like ground coffee, violets and white chocolate. All these flavors mingle in the mouth, and yet the wine is dry. The supple, silky texture is notable. Best Buy. —S.H.",Red Blend
Château Labrousse 2015  Blaye Côtes de Bordeaux,8,89,"This perfumed wine is firm with tannins that gives a spicy character. It has a dry core, a juicy aftertaste and rich blackberry fruit that will certainly develop as it matures. Give it some time and drink from 2021.",Bordeaux-style Red Blend
Katogi & Strofilia 2013 Mountain Fish Agiorgitiko (Peloponnese),10,89,"Violet, blackberry and plums on the nose are followed by unctuous, dark berry flavors in his affordable red. The wine has body but is buoyed by good structure and acidity. A very god alternative to everyday reds, and with a more mysterious overall character.",Agiorgitiko
Vega Montán 2014 Mencía (Bierzo),10,89,"Slightly rubbery black cherry and blackberry aromas are generic but good. This feels round and easygoing, with soft tannins and modest acidity. Black-plum flavors fly solo, while this is nice but hollow on the finish. Drink now.",Mencía
Wines & Winemakers 2008 Azul Portugal Red (Douro),10,89,"Ripe and smooth wine, with a rich Port-like aroma, the sweet fruit structured with some fresh stalky tannins. Great herbal and wild berry flavors to finish.",Portuguese Red
Altos del Cuco 2008 Red (Yecla),10,89,"A smooth wine for the price where all the dots connect. The nose has black cherry and raisin, while the palate is lush, deep and concentrated, with rewarding flavors of cherry, cassis and roasted plum. Lasting on the finish, with a licorice flavor. Very good wine for the money; Monastrell/Syrah/Tempranillo is the blend.",Red Blend
Provam 2015 Varanda do Conde White (Vinho Verde),10,89,"This is the entry-level wine from this Alvarinho specialist. A blend with Trajadura, it is crisp, light and bright. Tangy orange and lemon zest flavors give the wine its tight, lively acidity and refreshing aftertaste. Drink now.",Portuguese White
Blue Fish 2015 Sweet Riesling (Pfalz),10,89,"Balanced sweetness and pure fruity freshness personify this surprisingly elegant bargain buy. The palate bursts of fresh pear, grapefruit and tangerine flavors accented by a glaze of waxy lemon peels. Bristling acidity leads a long, revitalizing finish.",Riesling
Pepi 2011 Pinot Grigio (California),10,89,"This is dryish, impeccably clean and brisk in mouthwatering acidity, with layers of citrus and tropical fruits, apples, vanilla, honey and white pepper. It's a delight to drink by itself, or with everything from Vietnamese to Mexican cuisine. Production was 15,000 cases.",Pinot Grigio
Stemmari 2015 Grillo (Sicilia),10,89,"Alluring aromas of citrus, white flower and a whiff of tropical fruit come together on this. The racy palate offers lemon zest, mango, sage, saline and an almond note alongside vibrant acidity.",Grillo
Pacific Rim 2012 Dry Riesling (Columbia Valley (WA)),10,89,"Penetrating aromas suggest lemon oil and citrus blossom, with a hint of terpene. This is the driest version of this wine to date, with residual sugar down around 0.5%. Pear skin, pear flesh and citrus carry it through a lengthy finish.",Riesling
Dürnberg 2013 L&T Cool Climate Grüner Veltliner (Niederösterreich),10,89,"Lemon, green pear and aloe vera meld into a balanced, streamlined white with focus, elegance and depth. Citrus flavors play with peppery spice and combine for a lasting finish.",Grüner Veltliner
Bogle 2012 Merlot (California),10,89,"Complex fruit, herb and subtle oak aromas lead to an appetizingly dry feel and mellow, woodsy, autumnal flavors. It's medium bodied, smooth-textured and just savory enough to complement the tasty fruit flavors.",Merlot
Viña Tabalí 2010 Late Harvest Muscat (Limarí Valley),9,89,"An overachiever among dessert wines. It opens with ripe melon and sweet stone fruit aromas, but it's not overly challenging or heavy. The palate is thick but offers just-right acidity, which frames sweet, enjoyable orange, lychee and honey flavors. Rich yet bright; an extreme.",Muscat
